country,iso3,temp_2000,temp_2010,temp_2020,temp_2022,_cleaned_at
"Afghanistan, Islamic Rep. of",AFG,0.993,1.613,0.498,2.012,2026-01-20T19:25:15.564441
Albania,ALB,1.065,1.191,1.498,1.518,2026-01-20T19:25:15.564441
Algeria,DZA,0.82,2.265,1.926,1.688,2026-01-20T19:25:15.564441
American Samoa,ASM,0.626,1.311,1.43,1.256,2026-01-20T19:25:15.564441
"Andorra, Principality of",AND,1.05,0.471,2.562,3.243,2026-01-20T19:25:15.564441
Angola,AGO,0.169,1.194,1.162,1.212,2026-01-20T19:25:15.564441
Anguilla,AIA,0.264,1.09,1.224,0.839,2026-01-20T19:25:15.564441
Antigua and Barbuda,ATG,0.335,1.153,1.131,0.77,2026-01-20T19:25:15.564441
Argentina,ARG,-0.186,0.135,1.123,0.643,2026-01-20T19:25:15.564441
"Armenia, Rep. of",ARM,1.031,2.775,1.954,1.707,2026-01-20T19:25:15.564441
"Aruba, Kingdom of the Netherlands",ABW,,1.309,1.281,,2026-01-20T19:25:15.564441
Australia,AUS,0.148,0.673,1.416,0.754,2026-01-20T19:25:15.564441
Austria,AUT,1.769,0.656,2.315,2.498,2026-01-20T19:25:15.564441
"Azerbaijan, Rep. of",AZE,1.098,2.327,2.015,2.08,2026-01-20T19:25:15.564441
"Bahamas, The",BHS,0.163,0.314,1.611,1.48,2026-01-20T19:25:15.564441
"Bahrain, Kingdom of",BHR,1.119,2.286,2.027,2.017,2026-01-20T19:25:15.564441
Bangladesh,BGD,0.226,0.768,0.898,1.216,2026-01-20T19:25:15.564441
Barbados,BRB,0.303,1.147,,,2026-01-20T19:25:15.564441
"Belarus, Rep. of",BLR,1.941,1.461,3.51,1.922,2026-01-20T19:25:15.564441
Belgium,BEL,1.484,0.233,2.572,2.807,2026-01-20T19:25:15.564441
Belize,BLZ,0.175,0.843,1.716,1.031,2026-01-20T19:25:15.564441
Benin,BEN,0.449,1.23,1.031,0.884,2026-01-20T19:25:15.564441
Bhutan,BTN,0.214,1.202,1.09,1.523,2026-01-20T19:25:15.564441
Bolivia,BOL,0.403,0.68,1.315,0.644,2026-01-20T19:25:15.564441
Bosnia and Herzegovina,BIH,1.525,0.954,1.88,2.091,2026-01-20T19:25:15.564441
